,Team,City,Country,Stadium,Address,Capacity,Pitch
145,SC Freiburg,Freiburg,Germany,Schwarzwald-Stadion,Schwarzwaldstraße 193 79117 Freiburg im Breisgau,24000,Natural
146,Alemannia Aachen,Aachen,Germany,Neuer Tivoli,Sonnenweg 11,32960,cesped natural
147,Darmstadt 98,Darmstadt,Germany,Merck-Stadion am Böllenfalltor,Nieder-Ramstädter Straße 170 64285 Darmstadt,17000,Natural
148,Hannover 96,Hannover,Germany,HDI-Arena,"Robert-Enke-Straße 1, 30169 Hannover",49000,Natural
149,Stuttgarter,Stuttgart,Germany,GAZİ-Stadion auf der Waldau,"Guts-Muths Weg 4, Waldau",11436,Natural
150,Preußen Münster,,Germany,Preußen-Stadion,Am Berg Fidel 7,18050,Natural
151,Bayreuth SpVgg,Bayreuth,Germany,,,,
152,Man. Utd,Mánchester,England,Old Trafford,Sir Matt Busby Way,76212,Natural
153,Liverpool,Liverpool,England,Anfield,Anfield Road,54074,Natural
154,Norwich City,Norwich,England,Carrow Road,Carrow Road,27033,Natural
155,Queens Park Range.,Londres,England,Loftus Road,South Africa Road,19100,Natural
156,Coventry City,Coventry,England,City of Coventry Stadium,"Phoenix Way, Rowleys Green",32609,Natural
157,Tottenham Hotspur,"Londres, Inglaterra",England,Tottenham Hotspur Stadium,"782 High Rd, London N17 0BX, Reino Unido",62062,Natural
158,Millwall,Londres,England,The Den,"Zampa Road, Bermondsey",20146,Natural
159,Chelsea,Londres,England,Stamford Bridge,Fulham Road,41841,Natural
160,Nottingham Forest,Nottingham,England,The City Ground,Pavilion Road,30576,Natural
161,Aston Villa,"Birmingham, Inglaterra",England,Villa Park,Trinity Road,42788,Natural
162,Derby County,Derby,England,iPro Stadium,"Pride Park, Royal Way",33597,Natural
163,Charlton Athletic,Londres,England,The Valley,"Floyd Road, Charlton",27111,Natural
164,Southampton,Southampton,England,St. Mary's Stadium,Britannia Road,32689,Natural
165,Luton Town,Luton,England,Kenilworth Road Stadium,,,
166,Wimbledon FC,,,,,,
167,Man. City,Mánchester,England,Etihad Stadium,Rowsley Street,55097,Natural
168,Crystal Palace,"Londres, Inglaterra",England,Selhurst Park,Holmesdale Road,26309,Natural
169,Sheffield,Sheffield,England,Hillsborough Stadium,"Penistone Road North, Hillsborough",39814,Natural
170,Everton,Liverpool,England,Goodison Park,Goodison Road,40569,Natural
171,Arsenal,Londres,England,Emirates Stadium,Queensland Road,60355,Natural
172,West Ham,Londres,England,London Stadium,"Queen Elizabeth Olympic Park, London E20 2ST, Reino Unido",80000,Natural
173,Blackburn Rovers,Blackburn,England,Ewood Park,Nuttall Street,31367,Natural
174,Sheffield United,Sheffield,England,Bramall Lane,Bramall Lane,32702,Natural
175,Ipswich Town,Ipswich,England,Portman Road Stadium,Portman Road,30311,Natural
