Team,City,Country,Stadium,Address,Capacity,Pitch
Atlético,Madrid,Spain,Wanda Metropolitano,"Avenida Luis Aragonés, 4",68000,Natural
Real Valladolid,Valladolid,Spain,Municipal José Zorrilla,Avenida del Mundial 82 s/n,26512,Natural
CD Logroñés,,,,,,
Sevilla,Sevilla,Spain,Ramón Sánchez Pizjuán,Avenida de Eduardo Dato,42714,Natural
Athletic,Bilbao,Spain,San Mamés,"Rafael Moreno Pitxitxi Kalea, s/n, 48013 Bilbao, Bizkaia",53332,Natural
Real Zaragoza,Zaragoza,Spain,La Romareda,Paseo Isabel La Católica s/n,34596,Natural
CD Málaga,,,,,,
Real Oviedo,Oviedo,Spain,Carlos Tartiere,"Calle de Ricardo Vázquez Prada, Barrio de la Ería",30500,Césped Natural
CD Castellón,Castellon de la Plana,Spain,Municipal de Castalia,"Calle Huesca, S/N",15700,Cesped natural
Celta,Vigo,Spain,Abanca Balaídos,Avenida de Balaídos,28700,Natural
Valencia,Valencia,Spain,Mestalla,"Av. de Suècia, s/n, 46010 València",55000,Natural
Barcelona,Barcelona,Spain,Camp Nou,Avda. Arístides Maillol s/n 08028 Barcelona,99787,Natural
Real Sporting,,Spain,El Molinón-Enrique Castro Quini,Parque de Isabel la Católica s/n,30000,Natural
R. Sociedad,San Sebastián,Spain,Anoeta,Anoeta pasealekua 20.014 Donostia - San Sebastián,32076,Natural
Cádiz,Cádiz,Spain,Nuevo Ramón de Carranza,"Plaza de Madrid, s/n 11010 Cádiz",25033,Césped natural
Mallorca,Palma de Mallorca,Spain,Visit Mallora Estadi,Camí dels Reis s/n,23142,Natural
Tenerife,Santa Cruz de Tenerife,Spain,Heliodoro Rodríguez López,Bernardino Semán s/n,24000,Natural
Rayo Vallecano,Puente de vallecas,Spain,Vallecas,Calle Payaso Fofó,15500,Natural
Wattenscheid 09,,Germany,Lohrheidestadion,"Lohrheidestraße 81-83, Wattenscheid",16233,Natural
Hertha BSC,Berlín,Germany,Olympiastadion Berlin,Olympischer Platz 3,76065,Natural
Unterhaching,Unterhaching,Germany,Sportpark Unterhaching,Am Sportpark 1,15053,Natural
Fortuna Köln,,Germany,Südstadion,Am Vorgebirgstor 2 50969 Köln,14944,Natural
MSV Duisburg,Duisburgo,Germany,Schauinsland-Reisen-Arena,Margaretenstraße 5-7,31514,Natural
Saarbrücken,,Germany,Stadion Ludwigspark,Camphauser Straße,35286,Natural
Braunschweig,Braunschweig,Germany,Eintracht-Stadion,Hamburger Straße 210 38112 Braunschweig,23325,Natural
Hessen Kassel,Hessen,Germany,,,,
VfL Osnabrück,,Germany,osnatel-ARENA,"Scharnhorststraße 50, 49084 Osnabrück",16130,Césped
Meppen,,Germany,MEP-Arena,Lathener Str. 15,16500,Natural
Blau-Weiß 1890 B.,Berlin,Germany,,,,
Schalke 04,Gelsenkirchen,Germany,VELTINS-Arena,Ernst-Kuzorra-Weg 1 45891 Gelsenkirchen,62271,Natural
RW Essen,,Germany,Stadion Essen,"Hafenstraße 97a, Bergeborbeck",20650,Natural
SC Freiburg,Freiburg,Germany,Schwarzwald-Stadion,Schwarzwaldstraße 193 79117 Freiburg im Breisgau,24000,Natural
Alemannia Aachen,Aachen,Germany,Neuer Tivoli,Sonnenweg 11,32960,cesped natural
Darmstadt 98,Darmstadt,Germany,Merck-Stadion am Böllenfalltor,Nieder-Ramstädter Straße 170 64285 Darmstadt,17000,Natural
Hannover 96,Hannover,Germany,HDI-Arena,"Robert-Enke-Straße 1, 30169 Hannover",49000,Natural
Stuttgarter,Stuttgart,Germany,GAZİ-Stadion auf der Waldau,"Guts-Muths Weg 4, Waldau",11436,Natural
Preußen Münster,,Germany,Preußen-Stadion,Am Berg Fidel 7,18050,Natural
