Home_Team,Away_Team,Result,Link,Season,Round,League
Desportivo Aves,Leixões,1-0,/match/desportivo-aves/leixoes/2016,2016,9,segunda_liga
Leixões,Gil Vicente,2-1,/match/leixoes/gil-vicente/2016,2016,10,segunda_liga
CD Santa Clara,SP. Covilhã,2-2,/match/santa-clara/sporting-covilha/2016,2016,10,segunda_liga
Atlético CP,Feirense,1-1,/match/atletico-cp/feirense/2016,2016,10,segunda_liga
Benfica II,Mafra,1-2,/match/benfica-ii/mafra/2016,2016,10,segunda_liga
Penafiel,Academico Viseu,0-0,/match/penafiel/academico-viseu/2016,2016,10,segunda_liga
SC Freamunde,Desportivo Aves,1-2,/match/sc-freamunde/desportivo-aves/2016,2016,10,segunda_liga
Vitória,Chaves,0-3,/match/vitoria-guimar/chaves/2016,2016,10,segunda_liga
Varzim,UD Oliveirense,0-1,/match/varzim/ud-oliveirense/2016,2016,10,segunda_liga
Olhanense,Porto II,0-2,/match/sc-olhanense/porto-ii/2016,2016,10,segunda_liga
Sporting Braga II,Portimonense,2-3,/match/sporting-braga-ii/portimonense/2016,2016,10,segunda_liga
Famalicão,Sporting CP II,1-1,/match/famalicao/sporting-cp-ii/2016,2016,10,segunda_liga
Oriental Lisboa,Farense,1-3,/match/oriental-lisboa/farense/2016,2016,10,segunda_liga
Gil Vicente,Penafiel,1-0,/match/gil-vicente/penafiel/2016,2016,11,segunda_liga
UD Oliveirense,Vitória,0-1,/match/ud-oliveirense/vitoria-guimar/2016,2016,11,segunda_liga
Sporting CP II,Atlético CP,0-1,/match/sporting-cp-ii/atletico-cp/2016,2016,11,segunda_liga
SP. Covilhã,Benfica II,0-2,/match/sporting-covilha/benfica-ii/2016,2016,11,segunda_liga
Desportivo Aves,Porto II,0-0,/match/desportivo-aves/porto-ii/2016,2016,11,segunda_liga
Sporting Braga II,Oriental Lisboa,0-0,/match/sporting-braga-ii/oriental-lisboa/2016,2016,11,segunda_liga
Chaves,Olhanense,0-0,/match/chaves/sc-olhanense/2016,2016,11,segunda_liga
Farense,SC Freamunde,0-1,/match/farense/sc-freamunde/2016,2016,11,segunda_liga
Portimonense,CD Santa Clara,1-0,/match/portimonense/santa-clara/2016,2016,11,segunda_liga
Mafra,Famalicão,0-0,/match/mafra/famalicao/2016,2016,11,segunda_liga
Academico Viseu,Varzim,4-2,/match/academico-viseu/varzim/2016,2016,11,segunda_liga
Feirense,Leixões,2-1,/match/feirense/leixoes/2016,2016,11,segunda_liga
Leixões,Sporting Braga II,2-3,/match/leixoes/sporting-braga-ii/2016,2016,12,segunda_liga
Atlético CP,Desportivo Aves,0-1,/match/atletico-cp/desportivo-aves/2016,2016,12,segunda_liga
Olhanense,Academico Viseu,2-2,/match/sc-olhanense/academico-viseu/2016,2016,12,segunda_liga
Oriental Lisboa,Portimonense,1-2,/match/oriental-lisboa/portimonense/2016,2016,12,segunda_liga
Porto II,UD Oliveirense,2-2,/match/porto-ii/ud-oliveirense/2016,2016,12,segunda_liga
CD Santa Clara,Sporting CP II,2-3,/match/santa-clara/sporting-cp-ii/2016,2016,12,segunda_liga
Famalicão,Farense,2-1,/match/famalicao/farense/2016,2016,12,segunda_liga
SC Freamunde,Mafra,1-0,/match/sc-freamunde/mafra/2016,2016,12,segunda_liga
Varzim,Chaves,3-0,/match/varzim/chaves/2016,2016,12,segunda_liga
Penafiel,SP. Covilhã,2-2,/match/penafiel/sporting-covilha/2016,2016,12,segunda_liga
Vitória,Gil Vicente,1-0,/match/vitoria-guimar/gil-vicente/2016,2016,12,segunda_liga
Benfica II,Feirense,1-2,/match/benfica-ii/feirense/2016,2016,12,segunda_liga
Sporting Braga II,Penafiel,0-1,/match/sporting-braga-ii/penafiel/2016,2016,13,segunda_liga
Chaves,Porto II,2-2,/match/chaves/porto-ii/2016,2016,13,segunda_liga
Desportivo Aves,Vitória,0-1,/match/desportivo-aves/vitoria-guimar/2016,2016,13,segunda_liga
SP. Covilhã,SC Freamunde,0-2,/match/sporting-covilha/sc-freamunde/2016,2016,13,segunda_liga
Feirense,CD Santa Clara,1-0,/match/feirense/santa-clara/2016,2016,13,segunda_liga
Gil Vicente,Olhanense,3-0,/match/gil-vicente/sc-olhanense/2016,2016,13,segunda_liga
Mafra,Oriental Lisboa,1-0,/match/mafra/oriental-lisboa/2016,2016,13,segunda_liga
Sporting CP II,Varzim,0-0,/match/sporting-cp-ii/varzim/2016,2016,13,segunda_liga
UD Oliveirense,Atlético CP,1-1,/match/ud-oliveirense/atletico-cp/2016,2016,13,segunda_liga
Academico Viseu,Leixões,1-1,/match/academico-viseu/leixoes/2016,2016,13,segunda_liga
Farense,Benfica II,1-0,/match/farense/benfica-ii/2016,2016,13,segunda_liga
Portimonense,Famalicão,0-3,/match/portimonense/famalicao/2016,2016,13,segunda_liga
Atlético CP,Chaves,0-1,/match/atletico-cp/chaves/2016,2016,14,segunda_liga
Vitória,Academico Viseu,2-0,/match/vitoria-guimar/academico-viseu/2016,2016,14,segunda_liga
UD Oliveirense,Sporting CP II,1-2,/match/ud-oliveirense/sporting-cp-ii/2016,2016,14,segunda_liga
Oriental Lisboa,CD Santa Clara,2-0,/match/oriental-lisboa/santa-clara/2016,2016,14,segunda_liga
Penafiel,Desportivo Aves,0-2,/match/penafiel/desportivo-aves/2016,2016,14,segunda_liga
SC Freamunde,Feirense,1-1,/match/sc-freamunde/feirense/2016,2016,14,segunda_liga
Porto II,Gil Vicente,4-2,/match/porto-ii/gil-vicente/2016,2016,14,segunda_liga
Benfica II,Portimonense,3-2,/match/benfica-ii/portimonense/2016,2016,14,segunda_liga
Varzim,Sporting Braga II,1-1,/match/varzim/sporting-braga-ii/2016,2016,14,segunda_liga
Leixões,Farense,1-1,/match/leixoes/farense/2016,2016,14,segunda_liga
Olhanense,Mafra,2-1,/match/sc-olhanense/mafra/2016,2016,14,segunda_liga
Famalicão,SP. Covilhã,1-1,/match/famalicao/sporting-covilha/2016,2016,14,segunda_liga
Gil Vicente,Varzim,1-1,/match/gil-vicente/varzim/2016,2016,15,segunda_liga
Academico Viseu,Porto II,1-3,/match/academico-viseu/porto-ii/2016,2016,15,segunda_liga
CD Santa Clara,Benfica II,2-0,/match/santa-clara/benfica-ii/2016,2016,15,segunda_liga
Desportivo Aves,Famalicão,2-0,/match/desportivo-aves/famalicao/2016,2016,15,segunda_liga
Sporting Braga II,SC Freamunde,0-1,/match/sporting-braga-ii/sc-freamunde/2016,2016,15,segunda_liga
Chaves,UD Oliveirense,1-1,/match/chaves/ud-oliveirense/2016,2016,15,segunda_liga
SP. Covilhã,Oriental Lisboa,1-0,/match/sporting-covilha/oriental-lisboa/2016,2016,15,segunda_liga
Farense,Vitória,2-0,/match/farense/vitoria-guimar/2016,2016,15,segunda_liga
Feirense,Olhanense,1-0,/match/feirense/sc-olhanense/2016,2016,15,segunda_liga
Mafra,Atlético CP,0-0,/match/mafra/atletico-cp/2016,2016,15,segunda_liga
Portimonense,Leixões,1-1,/match/portimonense/leixoes/2016,2016,15,segunda_liga
Sporting CP II,Penafiel,4-2,/match/sporting-cp-ii/penafiel/2016,2016,15,segunda_liga
SC Freamunde,Portimonense,1-1,/match/sc-freamunde/portimonense/2016,2016,16,segunda_liga
Varzim,Desportivo Aves,1-0,/match/varzim/desportivo-aves/2016,2016,16,segunda_liga
UD Oliveirense,Academico Viseu,0-2,/match/ud-oliveirense/academico-viseu/2016,2016,16,segunda_liga
Olhanense,Sporting Braga II,2-0,/match/sc-olhanense/sporting-braga-ii/2016,2016,16,segunda_liga
Leixões,SP. Covilhã,2-2,/match/leixoes/sporting-covilha/2016,2016,16,segunda_liga
Benfica II,Oriental Lisboa,2-1,/match/benfica-ii/oriental-lisboa/2016,2016,16,segunda_liga
Atlético CP,Gil Vicente,0-1,/match/atletico-cp/gil-vicente/2016,2016,16,segunda_liga
Chaves,Sporting CP II,1-0,/match/chaves/sporting-cp-ii/2016,2016,16,segunda_liga
Vitória,Feirense,0-1,/match/vitoria-guimar/feirense/2016,2016,16,segunda_liga
Porto II,Mafra,2-0,/match/porto-ii/mafra/2016,2016,16,segunda_liga
Famalicão,CD Santa Clara,2-0,/match/famalicao/santa-clara/2016,2016,16,segunda_liga
Penafiel,Farense,0-0,/match/penafiel/farense/2016,2016,16,segunda_liga
Mafra,Vitória,1-1,/match/mafra/vitoria-guimar/2016,2016,17,segunda_liga
Desportivo Aves,UD Oliveirense,1-1,/match/desportivo-aves/ud-oliveirense/2016,2016,17,segunda_liga
Gil Vicente,Sporting CP II,1-1,/match/gil-vicente/sporting-cp-ii/2016,2016,17,segunda_liga
Portimonense,Olhanense,1-0,/match/portimonense/sc-olhanense/2016,2016,17,segunda_liga
SP. Covilhã,Porto II,0-0,/match/sporting-covilha/porto-ii/2016,2016,17,segunda_liga
CD Santa Clara,Leixões,2-0,/match/santa-clara/leixoes/2016,2016,17,segunda_liga
Sporting Braga II,Atlético CP,0-0,/match/sporting-braga-ii/atletico-cp/2016,2016,17,segunda_liga
Academico Viseu,Chaves,1-1,/match/academico-viseu/chaves/2016,2016,17,segunda_liga
Oriental Lisboa,SC Freamunde,2-1,/match/oriental-lisboa/sc-freamunde/2016,2016,17,segunda_liga
Benfica II,Famalicão,1-3,/match/benfica-ii/famalicao/2016,2016,17,segunda_liga
Farense,Varzim,0-0,/match/farense/varzim/2016,2016,17,segunda_liga
Feirense,Penafiel,1-0,/match/feirense/penafiel/2016,2016,17,segunda_liga
SC Freamunde,CD Santa Clara,2-1,/match/sc-freamunde/santa-clara/2016,2016,18,segunda_liga
Atlético CP,SP. Covilhã,1-1,/match/atletico-cp/sporting-covilha/2016,2016,18,segunda_liga
