,Home_Team,Away_Team,Result,Date,Link,Year,Round,League
136,Academico Viseu,Beira Mar SC,1-3,Sun 11 Jan ,/match/academico-viseu/beira-mar/1998,1998,16,segunda_liga
137,Torreense,Alverca,0-2,Sun 11 Jan ,/match/torreense/alverca/1998,1998,16,segunda_liga
138,FC Felgueiras,Nacional,1-1,Sun 11 Jan ,/match/fc-felgueiras/nacional/1998,1998,16,segunda_liga
139,Feirense,Uniao Lamas,1-0,Sun 11 Jan ,/match/feirense/uniao-lamas/1998,1998,16,segunda_liga
140,Desportivo Aves,Estoril,1-1,Sun 11 Jan ,/match/desportivo-aves/estoril/1998,1998,16,segunda_liga
141,FC Maia,União Madeira,1-0,Sun 11 Jan ,/match/fc-maia/uniao-madeira/1998,1998,16,segunda_liga
142,Penafiel,União de Leiria,2-1,Sun 11 Jan ,/match/penafiel/uniao-leiria/1998,1998,16,segunda_liga
143,Paços Ferreira,Espinho,0-2,Sun 11 Jan ,/match/pacos-ferreira/espinho/1998,1998,16,segunda_liga
144,Nacional,Feirense,1-2,Sat 17 Jan ,/match/nacional/feirense/1998,1998,17,segunda_liga
145,Uniao Lamas,Gil Vicente,1-4,Sun 18 Jan ,/match/uniao-lamas/gil-vicente/1998,1998,17,segunda_liga
146,Espinho,Penafiel,4-2,Sun 18 Jan ,/match/espinho/penafiel/1998,1998,17,segunda_liga
147,União Madeira,Desportivo Aves,2-1,Sun 18 Jan ,/match/uniao-madeira/desportivo-aves/1998,1998,17,segunda_liga
148,Estoril,Torreense,2-2,Sun 18 Jan ,/match/estoril/torreense/1998,1998,17,segunda_liga
149,Alverca,Academico Viseu,3-0,Sun 18 Jan ,/match/alverca/academico-viseu/1998,1998,17,segunda_liga
150,Beira Mar SC,Paços Ferreira,2-2,Sun 18 Jan ,/match/beira-mar/pacos-ferreira/1998,1998,17,segunda_liga
151,Moreirense,FC Maia,0-1,Sun 18 Jan ,/match/moreirense-fc/fc-maia/1998,1998,17,segunda_liga
152,União de Leiria,FC Felgueiras,4-0,Sun 18 Jan ,/match/uniao-leiria/fc-felgueiras/1998,1998,17,segunda_liga
153,Nacional,Gil Vicente,0-1,Sat 24 Jan ,/match/nacional/gil-vicente/1998,1998,18,segunda_liga
154,Uniao Lamas,FC Maia,1-0,Sun 25 Jan ,/match/uniao-lamas/fc-maia/1998,1998,18,segunda_liga
155,Espinho,FC Felgueiras,2-1,Sun 25 Jan ,/match/espinho/fc-felgueiras/1998,1998,18,segunda_liga
156,União Madeira,Torreense,2-0,Sun 25 Jan ,/match/uniao-madeira/torreense/1998,1998,18,segunda_liga
157,Penafiel,Paços Ferreira,4-1,Sun 25 Jan ,/match/penafiel/pacos-ferreira/1998,1998,18,segunda_liga
158,Estoril,Academico Viseu,1-0,Sun 25 Jan ,/match/estoril/academico-viseu/1998,1998,18,segunda_liga
159,Alverca,Beira Mar SC,0-1,Sun 25 Jan ,/match/alverca/beira-mar/1998,1998,18,segunda_liga
160,Moreirense,Desportivo Aves,2-2,Sun 25 Jan ,/match/moreirense-fc/desportivo-aves/1998,1998,18,segunda_liga
161,União de Leiria,Feirense,4-1,Sun 25 Jan ,/match/uniao-leiria/feirense/1998,1998,18,segunda_liga
162,Gil Vicente,União de Leiria,2-1,Sat 31 Jan ,/match/gil-vicente/uniao-leiria/1998,1998,19,segunda_liga
163,Academico Viseu,União Madeira,1-0,Sun 01 Feb ,/match/academico-viseu/uniao-madeira/1998,1998,19,segunda_liga
164,Torreense,Moreirense,3-2,Sun 01 Feb ,/match/torreense/moreirense-fc/1998,1998,19,segunda_liga
165,FC Felgueiras,Penafiel,1-1,Sun 01 Feb ,/match/fc-felgueiras/penafiel/1998,1998,19,segunda_liga
166,Feirense,Espinho,1-2,Sun 01 Feb ,/match/feirense/espinho/1998,1998,19,segunda_liga
167,Desportivo Aves,Uniao Lamas,4-2,Sun 01 Feb ,/match/desportivo-aves/uniao-lamas/1998,1998,19,segunda_liga
168,FC Maia,Nacional,5-3,Sun 01 Feb ,/match/fc-maia/nacional/1998,1998,19,segunda_liga
169,Paços Ferreira,Alverca,3-1,Sun 01 Feb ,/match/pacos-ferreira/alverca/1998,1998,19,segunda_liga
170,Beira Mar SC,Estoril,1-0,Sun 01 Feb ,/match/beira-mar/estoril/1998,1998,19,segunda_liga
171,Nacional,Desportivo Aves,5-3,Sat 07 Feb ,/match/nacional/desportivo-aves/1998,1998,20,segunda_liga
172,Uniao Lamas,Torreense,2-1,Sun 08 Feb ,/match/uniao-lamas/torreense/1998,1998,20,segunda_liga
173,Espinho,Gil Vicente,1-0,Sun 08 Feb ,/match/espinho/gil-vicente/1998,1998,20,segunda_liga
174,União Madeira,Beira Mar SC,1-1,Sun 08 Feb ,/match/uniao-madeira/beira-mar/1998,1998,20,segunda_liga
175,FC Felgueiras,Paços Ferreira,0-0,Sun 08 Feb ,/match/fc-felgueiras/pacos-ferreira/1998,1998,20,segunda_liga
176,Penafiel,Feirense,2-1,Sun 08 Feb ,/match/penafiel/feirense/1998,1998,20,segunda_liga
177,Estoril,Alverca,0-0,Sun 08 Feb ,/match/estoril/alverca/1998,1998,20,segunda_liga
178,Moreirense,Academico Viseu,0-0,Sun 08 Feb ,/match/moreirense-fc/academico-viseu/1998,1998,20,segunda_liga
179,União de Leiria,FC Maia,0-0,Sun 08 Feb ,/match/uniao-leiria/fc-maia/1998,1998,20,segunda_liga
180,Desportivo Aves,União de Leiria,1-2,Sat 14 Feb ,/match/desportivo-aves/uniao-leiria/1998,1998,21,segunda_liga
181,Gil Vicente,Penafiel,1-0,Sun 15 Feb ,/match/gil-vicente/penafiel/1998,1998,21,segunda_liga
182,Academico Viseu,Uniao Lamas,2-1,Sun 15 Feb ,/match/academico-viseu/uniao-lamas/1998,1998,21,segunda_liga
183,Feirense,FC Felgueiras,0-0,Sun 15 Feb ,/match/feirense/fc-felgueiras/1998,1998,21,segunda_liga
184,FC Maia,Espinho,1-0,Sun 15 Feb ,/match/fc-maia/espinho/1998,1998,21,segunda_liga
185,Paços Ferreira,Estoril,2-1,Sun 15 Feb ,/match/pacos-ferreira/estoril/1998,1998,21,segunda_liga
186,Beira Mar SC,Moreirense,0-0,Sun 15 Feb ,/match/beira-mar/moreirense-fc/1998,1998,21,segunda_liga
187,União Madeira,Estoril,1-0,Sat 21 Feb ,/match/uniao-madeira/estoril/1998,1998,21,segunda_liga
188,FC Felgueiras,Gil Vicente,0-0,Sat 21 Feb ,/match/fc-felgueiras/gil-vicente/1998,1998,21,segunda_liga
189,Feirense,Paços Ferreira,0-0,Sat 21 Feb ,/match/feirense/pacos-ferreira/1998,1998,22,segunda_liga
190,Penafiel,FC Maia,2-1,Sat 21 Feb ,/match/penafiel/fc-maia/1998,1998,22,segunda_liga
191,Moreirense,Alverca,3-1,Sat 21 Feb ,/match/moreirense-fc/alverca/1998,1998,22,segunda_liga
192,União de Leiria,Torreense,7-0,Sat 21 Feb ,/match/uniao-leiria/torreense/1998,1998,22,segunda_liga
193,Uniao Lamas,Beira Mar SC,1-0,Sun 22 Feb ,/match/uniao-lamas/beira-mar/1998,1998,22,segunda_liga
194,Espinho,Desportivo Aves,2-0,Sun 22 Feb ,/match/espinho/desportivo-aves/1998,1998,22,segunda_liga
195,Nacional,Academico Viseu,0-0,Sun 22 Feb ,/match/nacional/academico-viseu/1998,1998,22,segunda_liga
196,Alverca,União Madeira,3-1,Tue 24 Feb ,/match/alverca/uniao-madeira/1998,1998,22,segunda_liga
197,Torreense,Nacional,1-1,Wed 25 Feb ,/match/torreense/nacional/1998,1998,22,segunda_liga
198,Gil Vicente,Feirense,1-3,Sun 01 Mar ,/match/gil-vicente/feirense/1998,1998,23,segunda_liga
199,Academico Viseu,União de Leiria,0-1,Sun 01 Mar ,/match/academico-viseu/uniao-leiria/1998,1998,23,segunda_liga
200,Torreense,Espinho,2-2,Sun 01 Mar ,/match/torreense/espinho/1998,1998,23,segunda_liga
201,Desportivo Aves,Penafiel,3-0,Sun 01 Mar ,/match/desportivo-aves/penafiel/1998,1998,23,segunda_liga
202,FC Maia,FC Felgueiras,1-1,Sun 01 Mar ,/match/fc-maia/fc-felgueiras/1998,1998,23,segunda_liga
203,Estoril,Moreirense,4-2,Sun 01 Mar ,/match/estoril/moreirense-fc/1998,1998,23,segunda_liga
204,Paços Ferreira,União Madeira,1-1,Sun 01 Mar ,/match/pacos-ferreira/uniao-madeira/1998,1998,23,segunda_liga
205,Beira Mar SC,Nacional,4-0,Sun 01 Mar ,/match/beira-mar/nacional/1998,1998,23,segunda_liga
206,Alverca,Uniao Lamas,1-0,Mon 02 Mar ,/match/alverca/uniao-lamas/1998,1998,23,segunda_liga
207,Nacional,Alverca,0-2,Sat 07 Mar ,/match/nacional/alverca/1998,1998,24,segunda_liga
208,Gil Vicente,Paços Ferreira,2-2,Sun 08 Mar ,/match/gil-vicente/pacos-ferreira/1998,1998,24,segunda_liga
209,Uniao Lamas,Estoril,1-2,Sun 08 Mar ,/match/uniao-lamas/estoril/1998,1998,24,segunda_liga
210,Espinho,Academico Viseu,1-1,Sun 08 Mar ,/match/espinho/academico-viseu/1998,1998,24,segunda_liga
211,FC Felgueiras,Desportivo Aves,2-0,Sun 08 Mar ,/match/fc-felgueiras/desportivo-aves/1998,1998,24,segunda_liga
212,Feirense,FC Maia,2-0,Sun 08 Mar ,/match/feirense/fc-maia/1998,1998,24,segunda_liga
213,Penafiel,Torreense,3-1,Sun 08 Mar ,/match/penafiel/torreense/1998,1998,24,segunda_liga
214,Moreirense,União Madeira,4-1,Sun 08 Mar ,/match/moreirense-fc/uniao-madeira/1998,1998,24,segunda_liga
215,União de Leiria,Beira Mar SC,3-1,Sun 08 Mar ,/match/uniao-leiria/beira-mar/1998,1998,24,segunda_liga
216,União Madeira,Uniao Lamas,1-2,Sat 14 Mar ,/match/uniao-madeira/uniao-lamas/1998,1998,25,segunda_liga
217,Academico Viseu,Penafiel,0-3,Sun 15 Mar ,/match/academico-viseu/penafiel/1998,1998,25,segunda_liga
218,Torreense,FC Felgueiras,0-0,Sun 15 Mar ,/match/torreense/fc-felgueiras/1998,1998,25,segunda_liga
219,Desportivo Aves,Feirense,1-0,Sun 15 Mar ,/match/desportivo-aves/feirense/1998,1998,25,segunda_liga
220,FC Maia,Gil Vicente,1-1,Sun 15 Mar ,/match/fc-maia/gil-vicente/1998,1998,25,segunda_liga
221,Estoril,Nacional,2-0,Sun 15 Mar ,/match/estoril/nacional/1998,1998,25,segunda_liga
222,Paços Ferreira,Moreirense,3-1,Sun 15 Mar ,/match/pacos-ferreira/moreirense-fc/1998,1998,25,segunda_liga
223,Beira Mar SC,Espinho,1-0,Sun 15 Mar ,/match/beira-mar/espinho/1998,1998,25,segunda_liga
224,Alverca,União de Leiria,3-3,Mon 16 Mar ,/match/alverca/uniao-leiria/1998,1998,25,segunda_liga
225,Gil Vicente,Desportivo Aves,3-2,Sun 22 Mar ,/match/gil-vicente/desportivo-aves/1998,1998,26,segunda_liga
226,Uniao Lamas,Moreirense,0-2,Sun 22 Mar ,/match/uniao-lamas/moreirense-fc/1998,1998,26,segunda_liga
