,Home_Team,Away_Team,Result,Date,Link,Year,Round,League
192,Fiorentina,Napoli,0-1,Sun 28 Jan ,/match/fiorentina/napoli/1990,1990,22,serie_a
193,Bologna,Cesena,1-0,Sun 28 Jan ,/match/bologna/ac-cesena/1990,1990,22,serie_a
194,Milan,Genoa,1-0,Sun 28 Jan ,/match/milan/genoa/1990,1990,22,serie_a
195,Sampdoria,Udinese,03-Jan,Sun 28 Jan ,/match/sampdoria/udinese/1990,1990,22,serie_a
196,Juventus,Inter,1-0,Sun 28 Jan ,/match/juventus-fc/internazionale/1990,1990,22,serie_a
197,Roma,SSC Bari,1-0,Sun 28 Jan ,/match/roma/as-bari/1990,1990,22,serie_a
198,Genoa,Bologna,0-0,Sun 04 Feb ,/match/genoa/bologna/1990,1990,23,serie_a
199,Fiorentina,Milan,02-Mar,Sun 04 Feb ,/match/fiorentina/milan/1990,1990,23,serie_a
200,Cesena,Roma,0-0,Sun 04 Feb ,/match/ac-cesena/roma/1990,1990,23,serie_a
201,SSC Bari,Juventus,01-Jan,Sun 04 Feb ,/match/as-bari/juventus-fc/1990,1990,23,serie_a
202,Udinese,Lecce,03-Jan,Sun 04 Feb ,/match/udinese/lecce/1990,1990,23,serie_a
203,Lazio,Hellas Verona,0-0,Sun 04 Feb ,/match/lazio/hellas-verona-fc/1990,1990,23,serie_a
204,Inter,Ascoli,0-0,Sun 04 Feb ,/match/internazionale/ascoli/1990,1990,23,serie_a
205,Napoli,Cremonese,3-0,Sun 04 Feb ,/match/napoli/us-cremonese/1990,1990,23,serie_a
206,Atalanta,Sampdoria,02-Feb,Sun 04 Feb ,/match/atalanta/sampdoria/1990,1990,23,serie_a
207,Lecce,Hellas Verona,1-0,Sun 11 Feb ,/match/lecce/hellas-verona-fc/1990,1990,24,serie_a
208,Udinese,Fiorentina,01-Jan,Sun 11 Feb ,/match/udinese/fiorentina/1990,1990,24,serie_a
209,Cremonese,Bologna,02-Jan,Sun 11 Feb ,/match/us-cremonese/bologna/1990,1990,24,serie_a
210,Cesena,Atalanta,0-0,Sun 11 Feb ,/match/ac-cesena/atalanta/1990,1990,24,serie_a
211,Ascoli,SSC Bari,01-Jan,Sun 11 Feb ,/match/ascoli/as-bari/1990,1990,24,serie_a
212,Roma,Inter,01-Jan,Sun 11 Feb ,/match/roma/internazionale/1990,1990,24,serie_a
213,Juventus,Lazio,1-0,Sun 11 Feb ,/match/juventus-fc/lazio/1990,1990,24,serie_a
214,Milan,Napoli,3-0,Sun 11 Feb ,/match/milan/napoli/1990,1990,24,serie_a
215,Sampdoria,Genoa,0-0,Sun 11 Feb ,/match/sampdoria/genoa/1990,1990,24,serie_a
216,SSC Bari,Inter,0-0,Sun 18 Feb ,/match/as-bari/internazionale/1990,1990,25,serie_a
217,Genoa,Udinese,0-0,Sun 18 Feb ,/match/genoa/udinese/1990,1990,25,serie_a
218,Fiorentina,Lecce,3-0,Sun 18 Feb ,/match/fiorentina/lecce/1990,1990,25,serie_a
219,Hellas Verona,Sampdoria,1-0,Sun 18 Feb ,/match/hellas-verona-fc/sampdoria/1990,1990,25,serie_a
220,Lazio,Cesena,4-0,Sun 18 Feb ,/match/lazio/ac-cesena/1990,1990,25,serie_a
221,Bologna,Ascoli,02-Jan,Sun 18 Feb ,/match/bologna/ascoli/1990,1990,25,serie_a
222,Milan,Cremonese,02-Jan,Sun 18 Feb ,/match/milan/us-cremonese/1990,1990,25,serie_a
