Position,Team,Points,Win,Draw,Lose,Goals_For,Goals_Against,Number_Teams,Season,Round,League
1,Juventus,7,3,1,0,11,4,18,1990,4,serie_a
2,Napoli,7,3,1,0,4,1,18,1990,4,serie_a
3,Roma,6,2,2,0,7,2,18,1990,4,serie_a
4,Milan,6,3,0,1,7,2,18,1990,4,serie_a
5,Sampdoria,5,2,1,1,5,2,18,1990,4,serie_a
6,Bologna,5,1,3,0,7,5,18,1990,4,serie_a
7,Inter,5,2,1,1,6,6,18,1990,4,serie_a
8,Genoa,5,2,1,1,2,2,18,1990,4,serie_a
9,Lecce,4,2,0,2,5,5,18,1990,4,serie_a
10,SSC Bari,4,1,2,1,4,5,18,1990,4,serie_a
11,Fiorentina,4,1,2,1,3,4,18,1990,4,serie_a
12,Ascoli,3,1,1,2,3,5,18,1990,4,serie_a
13,Lazio,3,1,1,2,2,4,18,1990,4,serie_a
14,Cesena,3,1,1,2,3,6,18,1990,4,serie_a
15,Udinese,2,0,2,2,3,6,18,1990,4,serie_a
16,Atalanta,2,1,0,3,3,7,18,1990,4,serie_a
17,Cremonese,1,0,1,3,3,6,18,1990,4,serie_a
18,Hellas Verona,0,0,0,4,3,9,18,1990,4,serie_a
1,Napoli,9,4,1,0,7,3,18,1990,5,serie_a
2,Roma,8,3,2,0,9,3,18,1990,5,serie_a
3,Juventus,7,3,1,1,12,6,18,1990,5,serie_a
4,Milan,7,3,1,1,8,3,18,1990,5,serie_a
5,Inter,7,3,1,1,8,7,18,1990,5,serie_a
6,Sampdoria,6,2,2,1,8,5,18,1990,5,serie_a
7,Bologna,6,1,4,0,7,5,18,1990,5,serie_a
8,Genoa,6,2,2,1,3,3,18,1990,5,serie_a
9,Lazio,5,2,1,2,5,4,18,1990,5,serie_a
10,SSC Bari,4,1,2,2,5,7,18,1990,5,serie_a
11,Atalanta,4,2,0,3,5,7,18,1990,5,serie_a
12,Fiorentina,4,1,2,2,5,7,18,1990,5,serie_a
13,Ascoli,4,1,2,2,4,6,18,1990,5,serie_a
14,Lecce,4,2,0,3,5,8,18,1990,5,serie_a
15,Cesena,4,1,2,2,3,6,18,1990,5,serie_a
16,Udinese,3,0,3,2,6,9,18,1990,5,serie_a
17,Cremonese,1,0,1,4,3,8,18,1990,5,serie_a
18,Hellas Verona,1,0,1,4,4,10,18,1990,5,serie_a
1,Roma,10,4,2,0,10,3,18,1990,6,serie_a
2,Napoli,10,4,2,0,8,4,18,1990,6,serie_a
3,Juventus,9,4,1,1,13,6,18,1990,6,serie_a
4,Inter,9,4,1,1,9,7,18,1990,6,serie_a
5,Milan,8,3,2,1,9,4,18,1990,6,serie_a
6,Sampdoria,8,3,2,1,9,5,18,1990,6,serie_a
7,Bologna,8,2,4,0,8,5,18,1990,6,serie_a
8,Lazio,6,2,2,2,6,5,18,1990,6,serie_a
9,Genoa,6,2,2,2,3,4,18,1990,6,serie_a
10,Lecce,6,3,0,3,6,8,18,1990,6,serie_a
11,Fiorentina,5,1,3,2,6,8,18,1990,6,serie_a
12,Atalanta,4,2,0,4,5,8,18,1990,6,serie_a
13,SSC Bari,4,1,2,3,5,8,18,1990,6,serie_a
14,Ascoli,4,1,2,3,4,7,18,1990,6,serie_a
15,Cesena,4,1,2,3,3,7,18,1990,6,serie_a
16,Udinese,3,0,3,3,6,10,18,1990,6,serie_a
17,Cremonese,2,0,2,4,4,9,18,1990,6,serie_a
18,Hellas Verona,2,0,2,4,5,11,18,1990,6,serie_a
1,Napoli,12,5,2,0,11,4,18,1990,7,serie_a
2,Inter,11,5,1,1,12,7,18,1990,7,serie_a
3,Juventus,10,4,2,1,14,7,18,1990,7,serie_a
4,Sampdoria,10,4,2,1,11,6,18,1990,7,serie_a
5,Roma,10,4,2,1,10,6,18,1990,7,serie_a
6,Bologna,9,2,5,0,9,6,18,1990,7,serie_a
7,Milan,8,3,2,2,9,7,18,1990,7,serie_a
8,Lazio,7,2,3,2,7,6,18,1990,7,serie_a
9,Lecce,7,3,1,3,6,8,18,1990,7,serie_a
10,Atalanta,6,3,0,4,6,8,18,1990,7,serie_a
11,Genoa,6,2,2,3,4,6,18,1990,7,serie_a
12,Udinese,5,1,3,3,8,11,18,1990,7,serie_a
13,SSC Bari,5,1,3,3,7,10,18,1990,7,serie_a
14,Fiorentina,5,1,3,3,7,10,18,1990,7,serie_a
15,Ascoli,5,1,3,3,6,9,18,1990,7,serie_a
16,Cesena,4,1,2,4,3,8,18,1990,7,serie_a
17,Cremonese,3,0,3,4,5,10,18,1990,7,serie_a
18,Hellas Verona,3,0,3,4,5,11,18,1990,7,serie_a
1,Napoli,13,5,3,0,12,5,18,1990,8,serie_a
2,Sampdoria,12,5,2,1,12,6,18,1990,8,serie_a
3,Inter,12,5,2,1,13,8,18,1990,8,serie_a
4,Roma,11,4,3,1,11,7,18,1990,8,serie_a
5,Juventus,10,4,2,2,14,8,18,1990,8,serie_a
6,Bologna,10,2,6,0,10,7,18,1990,8,serie_a
7,Lecce,9,4,1,3,7,8,18,1990,8,serie_a
8,Milan,8,3,2,3,9,8,18,1990,8,serie_a
9,Lazio,8,2,4,2,7,6,18,1990,8,serie_a
10,Genoa,8,3,2,3,8,8,18,1990,8,serie_a
11,Atalanta,8,4,0,4,7,8,18,1990,8,serie_a
12,SSC Bari,6,1,4,3,8,11,18,1990,8,serie_a
